iter	Passed	Remaining
0	0	89
1	1	75
2	2	69
3	2	63
4	3	62
5	3	60
6	4	59
7	5	57
8	5	57
9	6	55
10	6	55
11	7	54
12	7	53
13	8	52
14	9	51
15	10	53
16	10	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	38
37	23	38
38	24	38
39	25	38
40	26	37
41	26	37
42	27	36
43	29	37
44	30	36
45	31	36
46	31	35
47	32	35
48	32	34
49	33	33
50	34	32
51	34	31
52	35	31
53	35	30
54	36	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	45	18
71	46	18
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	56	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
